,id,statement_code,category_code,statement_content,direction_code,parent_statement_code,attributes,statement_level,serial_number,create_user,create_time,modify_user,modify_time,del_stat,version_no
120,882,109614022000300a,109514020000000b,绘画画家,1095140220000000,1095140220000000,,1,2,zstx,2023-12-04 08:30:25,guochengjie,2024-01-21 14:26:09,1,0
121,884,1096140310001007,1095140300000001,医用耗材,1095140310000002,1095140310000002,,1,999,zstx,2023-12-04 08:31:33,system_user,2024-01-21 14:26:09,0,0
122,885,1096140310002003,1095140300000001,燃料消耗,1095140310000002,1095140310000002,,1,999,zstx,2023-12-04 08:31:41,system_user,2024-01-21 14:26:09,0,0
123,886,109614031000300c,1095140300000001,日用品消耗,1095140310000002,1095140310000002,,1,999,zstx,2023-12-04 08:31:47,system_user,2024-01-21 14:26:09,0,0
124,887,1096140310004008,1095140300000001,办公用品消耗,1095140310000002,1095140310000002,,1,999,zstx,2023-12-04 08:31:56,system_user,2024-01-21 14:26:09,0,0
125,888,1096140320001008,1095140300000001,长期使用人,1095140320000003,1095140320000003,,1,999,zstx,2023-12-04 08:32:08,system_user,2024-01-21 14:26:09,0,0
126,889,1096140320002004,1095140300000001,临时使用人,1095140320000003,1095140320000003,,1,999,zstx,2023-12-04 08:32:15,system_user,2024-01-21 14:26:09,0,0
127,890,109614041000100a,1095140400000004,个人资产,1095140410000005,1095140410000005,,1,999,zstx,2023-12-04 08:33:00,system_user,2024-01-21 14:26:09,0,0
128,891,1096140410002006,1095140400000004,私有股份,1095140410000005,1095140410000005,,1,999,zstx,2023-12-04 08:33:08,system_user,2024-01-21 14:26:09,0,0
129,892,109614042000100b,1095140400000004,物品拥有人,1095140420000006,1095140420000006,,1,999,zstx,2023-12-04 08:33:18,system_user,2024-01-21 14:26:09,0,0
130,893,1096140420002007,1095140400000004,专利所有人,1095140420000006,1095140420000006,,1,999,zstx,2023-12-04 08:33:26,system_user,2024-01-21 14:26:09,0,0
131,894,1096140610001003,109514060000000a,被管理物品,109514061000000b,109514061000000b,,1,999,zstx,2023-12-04 08:36:10,system_user,2024-01-21 14:26:09,0,0
132,899,1096140620001004,109514060000000a,资产管理员,109514062000000c,109514062000000c,,1,999,zstx,2023-12-04 08:37:22,system_user,2024-01-21 14:26:09,0,0
133,900,1096140620002000,109514060000000a,库存管理员,109514062000000c,109514062000000c,,1,999,zstx,2023-12-04 08:37:29,system_user,2024-01-21 14:26:09,0,0
134,901,1096140620003009,109514060000000a,设备管理员,109514062000000c,109514062000000c,,1,999,zstx,2023-12-04 08:37:36,system_user,2024-01-21 14:26:09,0,0
135,902,1096140620004005,109514060000000a,档案管理员,109514062000000c,109514062000000c,,1,999,zstx,2023-12-04 08:37:42,system_user,2024-01-21 14:26:09,0,0
136,903,1096140710001006,1095140700000000,保养的车辆,1095140710000001,1095140710000001,,1,999,zstx,2023-12-04 08:38:49,system_user,2024-01-21 14:26:09,0,0
137,904,1096140710002002,1095140700000000,保养的设备,1095140710000001,1095140710000001,,1,999,zstx,2023-12-04 08:38:56,system_user,2024-01-21 14:26:09,0,0
138,905,109614071000300b,1095140700000000,维护的软件,1095140710000001,1095140710000001,,1,999,zstx,2023-12-04 08:39:04,guochengjie,2024-01-21 14:26:09,1,0
139,906,1096140720001007,1095140700000000,维修工,1095140720000002,1095140720000002,,1,999,zstx,2023-12-04 08:39:13,system_user,2024-01-21 14:26:09,0,0
140,907,1096140720002003,1095140700000000,清洁员,1095140720000002,1095140720000002,,1,999,zstx,2023-12-04 08:39:19,system_user,2024-01-21 14:26:09,0,0
141,908,1096140810001009,1095140800000003,购物意向考虑,1095140810000004,1095140810000004,,1,999,zstx,2023-12-04 08:40:07,qidekang,2024-01-21 14:26:09,1,0
142,909,1096140810002005,1095140800000003,被检测人员,1095140810000004,1095140810000004,,1,999,zstx,2023-12-04 08:40:14,system_user,2024-01-21 14:26:09,0,0
143,910,109614082000100a,1095140800000003,意向购买者,1095140820000005,1095140820000005,,1,999,zstx,2023-12-04 08:40:43,qidekang,2024-01-27 13:59:06,1,0
144,911,1096140820002006,1095140800000003,检测仪器,1095140820000005,1095140820000005,,1,999,zstx,2023-12-04 08:40:51,system_user,2024-01-21 14:26:09,0,0
145,912,1096150110001002,1095150100000009,创办的企业,109515011000000a,109515011000000a,,1,999,zstx,2023-12-04 08:43:02,guochengjie,2024-01-21 14:26:09,0,0
146,913,109615011000200b,1095150100000009,成立的协会,109515011000000a,109515011000000a,,1,999,zstx,2023-12-04 08:43:27,guochengjie,2024-01-21 14:26:09,0,0
147,914,1096150120001003,1095150100000009,创始人,109515012000000b,109515012000000b,,1,999,zstx,2023-12-04 08:43:55,system_user,2024-01-21 14:26:09,0,0
148,916,109615012000200c,1095150100000009,原始股东,109515012000000b,109515012000000b,,1,999,zstx,2023-12-04 08:44:10,system_user,2024-01-21 14:26:09,0,0
149,917,1096150210001005,109515020000000c,管理的组织,1095150210000000,1095150210000000,,1,999,zstx,2023-12-04 08:45:27,guochengjie,2024-01-21 14:26:09,0,0
150,918,1096150220001006,109515020000000c,组织法人,1095150220000001,1095150220000001,,1,0,zstx,2023-12-04 08:45:39,qidekang,2024-01-21 14:26:09,0,0
151,919,1096150220002002,109515020000000c,单位负责人,1095150220000001,1095150220000001,,1,1,zstx,2023-12-04 08:45:45,qidekang,2024-01-21 14:26:09,0,0
152,923,109615022000300b,109515020000000c,部门领导,1095150220000001,1095150220000001,,1,2,zstx,2023-12-04 08:47:06,qidekang,2024-01-21 14:26:09,1,0
153,925,1096150310001008,1095150300000002,工作单位,1095150310000003,1095150310000003,,1,0,zstx,2023-12-04 08:48:12,guochengjie,2024-01-21 14:26:09,0,0
154,926,1096150310002004,1095150300000002,隶属组织,1095150310000003,1095150310000003,,1,1,zstx,2023-12-04 08:48:18,guochengjie,2024-01-21 14:26:09,0,0
155,927,1096150320001009,1095150300000002,公司员工,1095150320000004,1095150320000004,,1,0,zstx,2023-12-04 08:48:27,qidekang,2024-01-21 14:26:09,0,0
156,928,1096150510001001,1095150500000008,兼职单位,1095150510000009,1095150510000009,,1,2,zstx,2023-12-04 08:50:20,qidekang,2024-01-21 14:26:09,0,0
157,929,109615051000200a,1095150500000008,借调单位,1095150510000009,1095150510000009,,1,1,zstx,2023-12-04 08:50:32,qidekang,2024-01-21 14:26:09,0,0
158,930,1096150520001002,1095150500000008,顾问,109515052000000a,109515052000000a,,1,2,zstx,2023-12-04 08:50:44,guochengjie,2024-01-21 14:26:09,0,0
159,931,109615052000200b,1095150500000008,服务志愿者,109515052000000a,109515052000000a,,1,0,zstx,2023-12-04 08:50:50,qidekang,2024-01-21 14:26:09,0,0
160,932,1096150520003007,1095150500000008,借调人员,109515052000000a,109515052000000a,,1,1,zstx,2023-12-04 08:50:56,qidekang,2024-01-21 14:26:09,0,0
161,933,1096220110001002,1095220100000009,所属线路,109522011000000a,109522011000000a,,1,999,zstx,2023-12-04 08:53:03,system_user,2024-01-21 14:26:09,0,0
162,934,109622011000200b,1095220100000009,所属区域,109522011000000a,109522011000000a,,1,999,zstx,2023-12-04 08:53:11,system_user,2024-01-21 14:26:09,0,0
163,935,1096220120001003,1095220100000009,内部地点,109522012000000b,109522012000000b,,1,999,zstx,2023-12-04 08:53:29,admin,2024-01-21 14:26:09,1,0
164,936,109622012000200c,1095220100000009,部分路段,109522012000000b,109522012000000b,,1,999,zstx,2023-12-04 08:53:39,admin,2024-01-21 14:26:09,1,0
165,937,1096220120003008,1095220100000009,内部区域,109522012000000b,109522012000000b,,1,999,zstx,2023-12-04 09:03:59,admin,2024-01-21 14:26:09,1,0
